metric,value,step
loss_weighted/category_loss,1.8688658475875854,200.0
loss_weighted/category_loss,1.8908690214157104,210.0
loss_weighted/category_loss,1.6177902221679688,220.0
loss_weighted/category_loss,1.8820549249649048,230.0
loss_weighted/category_loss,2.0322601795196533,240.0
loss_weighted/category_loss,1.752738356590271,250.0
loss_weighted/category_loss,1.5220766067504883,260.0
loss_weighted/category_loss,2.207979202270508,270.0
loss_weighted/category_loss,1.889487862586975,280.0
loss_weighted/category_loss,2.1562204360961914,290.0
loss_weighted/category_loss,1.6514836549758911,300.0
loss_weighted/category_loss,1.7662702798843384,310.0
loss_weighted/category_loss,1.8669217824935913,323.0
loss_weighted/category_loss,1.710048794746399,333.0
loss_weighted/category_loss,1.7911229133605957,343.0
loss_weighted/category_loss,1.3513433933258057,353.0
loss_weighted/category_loss,1.3607614040374756,363.0
loss_weighted/category_loss,1.6623868942260742,373.0
loss_weighted/category_loss,1.2597475051879883,383.0
loss_weighted/category_loss,1.4524657726287842,393.0
loss_weighted/category_loss,1.7275662422180176,403.0
loss_weighted/category_loss,1.531360387802124,413.0
loss_weighted/category_loss,1.638816475868225,423.0
loss_weighted/category_loss,1.6701221466064453,433.0
loss_weighted/category_loss,1.507977843284607,443.0
loss_weighted/category_loss,1.2242382764816284,453.0
loss_weighted/category_loss,1.5933640003204346,463.0
loss_weighted/category_loss,1.8963483572006226,473.0
loss_weighted/category_loss,1.7912054061889648,483.0
loss_weighted/category_loss,1.5496866703033447,493.0
loss_weighted/category_loss,1.5011683702468872,503.0
loss_weighted/category_loss,1.7622474431991577,513.0
loss_weighted/category_loss,1.3920795917510986,523.0
loss_weighted/category_loss,1.5586719512939453,533.0
loss_weighted/category_loss,1.4722182750701904,543.0
loss_weighted/category_loss,1.388749361038208,553.0
loss_weighted/category_loss,2.027552366256714,563.0
loss_weighted/category_loss,1.7442882061004639,573.0
loss_weighted/category_loss,1.5194969177246094,583.0
loss_weighted/category_loss,1.571937918663025,593.0
loss_weighted/category_loss,1.5620496273040771,603.0
loss_weighted/category_loss,1.3032379150390625,613.0
loss_weighted/category_loss,1.4785354137420654,623.0
loss_weighted/category_loss,1.2420240640640259,636.0
loss_weighted/category_loss,1.2074143886566162,646.0
loss_weighted/category_loss,1.4333257675170898,656.0
loss_weighted/category_loss,1.3748226165771484,666.0
loss_weighted/category_loss,1.137140154838562,676.0
loss_weighted/category_loss,1.5231447219848633,686.0
loss_weighted/category_loss,1.2722594738006592,696.0
loss_weighted/category_loss,1.2676517963409424,706.0
loss_weighted/category_loss,1.679193139076233,716.0
loss_weighted/category_loss,1.4003069400787354,726.0
loss_weighted/category_loss,0.8215662837028503,736.0
loss_weighted/category_loss,0.9483789205551147,746.0
loss_weighted/category_loss,1.3923875093460083,756.0
loss_weighted/category_loss,1.1257753372192383,766.0
loss_weighted/category_loss,1.1757383346557617,776.0
loss_weighted/category_loss,1.444003701210022,786.0
loss_weighted/category_loss,1.1652685403823853,796.0
loss_weighted/category_loss,1.365519404411316,806.0
loss_weighted/category_loss,1.371027946472168,816.0
loss_weighted/category_loss,1.2503939867019653,826.0
loss_weighted/category_loss,1.0159937143325806,836.0
loss_weighted/category_loss,1.2041858434677124,846.0
loss_weighted/category_loss,0.9500607848167419,856.0
loss_weighted/category_loss,1.3183486461639404,866.0
loss_weighted/category_loss,1.0330963134765625,876.0
loss_weighted/category_loss,0.8881813287734985,886.0
loss_weighted/category_loss,1.1381937265396118,896.0
loss_weighted/category_loss,1.718237042427063,906.0
loss_weighted/category_loss,1.482185959815979,916.0
loss_weighted/category_loss,1.2750020027160645,926.0
loss_weighted/category_loss,1.7243038415908813,936.0
loss_weighted/category_loss,1.097033977508545,949.0
loss_weighted/category_loss,0.8579455614089966,959.0
loss_weighted/category_loss,0.7922500371932983,969.0
loss_weighted/category_loss,1.031604528427124,979.0
loss_weighted/category_loss,0.7524861097335815,989.0
loss_weighted/category_loss,1.4332506656646729,999.0
loss_weighted/category_loss,0.6405789852142334,1009.0
loss_weighted/category_loss,1.2902034521102905,1019.0
loss_weighted/category_loss,0.7231911420822144,1029.0
loss_weighted/category_loss,0.9059451818466187,1039.0
loss_weighted/category_loss,1.3515151739120483,1049.0
loss_weighted/category_loss,1.2493200302124023,1059.0
loss_weighted/category_loss,0.7629328966140747,1069.0
loss_weighted/category_loss,0.8629454970359802,1079.0
loss_weighted/category_loss,1.0843980312347412,1089.0
loss_weighted/category_loss,1.079816222190857,1099.0
loss_weighted/category_loss,0.7902077436447144,1109.0
loss_weighted/category_loss,0.9197502136230469,1119.0
loss_weighted/category_loss,1.125549077987671,1129.0
loss_weighted/category_loss,0.8857528567314148,1139.0
loss_weighted/category_loss,0.8833025693893433,1149.0
loss_weighted/category_loss,1.346240520477295,1159.0
loss_weighted/category_loss,1.3991447687149048,1169.0
loss_weighted/category_loss,0.755869448184967,1179.0
loss_weighted/category_loss,1.0281234979629517,1189.0
loss_weighted/category_loss,1.0283666849136353,1199.0
loss_weighted/category_loss,0.7136124968528748,1209.0
loss_weighted/category_loss,0.7363303303718567,1219.0
loss_weighted/category_loss,0.8717794418334961,1229.0
loss_weighted/category_loss,1.4743555784225464,1239.0
loss_weighted/category_loss,0.8619080781936646,1249.0
loss_weighted/category_loss,0.5747545957565308,1262.0
loss_weighted/category_loss,0.36198925971984863,1272.0
loss_weighted/category_loss,0.6806913614273071,1282.0
loss_weighted/category_loss,1.0231494903564453,1292.0
loss_weighted/category_loss,0.7889792919158936,1302.0
loss_weighted/category_loss,0.5777856707572937,1312.0
loss_weighted/category_loss,0.6857905983924866,1322.0
loss_weighted/category_loss,0.531756579875946,1332.0
loss_weighted/category_loss,0.5095039010047913,1342.0
loss_weighted/category_loss,0.7579144239425659,1352.0
loss_weighted/category_loss,0.6873345971107483,1362.0
loss_weighted/category_loss,1.0004371404647827,1372.0
loss_weighted/category_loss,0.7776558995246887,1382.0
loss_weighted/category_loss,0.6750754117965698,1392.0
loss_weighted/category_loss,0.99769127368927,1402.0
loss_weighted/category_loss,0.6268882751464844,1412.0
loss_weighted/category_loss,0.4714924991130829,1422.0
loss_weighted/category_loss,0.2845047116279602,1432.0
loss_weighted/category_loss,0.6018320322036743,1442.0
loss_weighted/category_loss,0.739917516708374,1452.0
loss_weighted/category_loss,0.8635917901992798,1462.0
loss_weighted/category_loss,0.9302522540092468,1472.0
loss_weighted/category_loss,1.2211579084396362,1482.0
loss_weighted/category_loss,0.8515022397041321,1492.0
loss_weighted/category_loss,0.8556072115898132,1502.0
loss_weighted/category_loss,0.5110942125320435,1512.0
loss_weighted/category_loss,0.6573113203048706,1522.0
loss_weighted/category_loss,0.899437427520752,1532.0
loss_weighted/category_loss,0.6605170965194702,1542.0
loss_weighted/category_loss,0.5179029703140259,1552.0
loss_weighted/category_loss,0.573604941368103,1562.0
loss_weighted/category_loss,1.0333737134933472,1575.0
loss_weighted/category_loss,0.3143391013145447,1585.0
loss_weighted/category_loss,0.4630032777786255,1595.0
loss_weighted/category_loss,0.7850931286811829,1605.0
loss_weighted/category_loss,0.1617027074098587,1615.0
loss_weighted/category_loss,0.5904747247695923,1625.0
loss_weighted/category_loss,0.2506134808063507,1635.0
loss_weighted/category_loss,0.5562284588813782,1645.0
loss_weighted/category_loss,0.7821041345596313,1655.0
loss_weighted/category_loss,0.6998772621154785,1665.0
loss_weighted/category_loss,0.3258855938911438,1675.0
loss_weighted/category_loss,0.5038990378379822,1685.0
loss_weighted/category_loss,0.30132824182510376,1695.0
loss_weighted/category_loss,0.38049566745758057,1705.0
loss_weighted/category_loss,0.8318418860435486,1715.0
loss_weighted/category_loss,0.5212421417236328,1725.0
loss_weighted/category_loss,0.5121856331825256,1735.0
loss_weighted/category_loss,0.5831140279769897,1745.0
loss_weighted/category_loss,0.5330562591552734,1755.0
loss_weighted/category_loss,0.3939359784126282,1765.0
loss_weighted/category_loss,0.5782970190048218,1775.0
loss_weighted/category_loss,0.6012483239173889,1785.0
loss_weighted/category_loss,0.4653528034687042,1795.0
loss_weighted/category_loss,0.9380091428756714,1805.0
loss_weighted/category_loss,0.4927309453487396,1815.0
loss_weighted/category_loss,0.4425378143787384,1825.0
loss_weighted/category_loss,0.4762410521507263,1835.0
loss_weighted/category_loss,0.4444018602371216,1845.0
loss_weighted/category_loss,0.21648426353931427,1855.0
loss_weighted/category_loss,0.38576218485832214,1865.0
loss_weighted/category_loss,0.9879683256149292,1875.0
loss_weighted/category_loss,0.7531046867370605,1888.0
loss_weighted/category_loss,0.5013988614082336,1898.0
loss_weighted/category_loss,0.4307680130004883,1908.0
loss_weighted/category_loss,0.31537410616874695,1918.0
loss_weighted/category_loss,0.10354869067668915,1928.0
loss_weighted/category_loss,0.4373881220817566,1938.0
loss_weighted/category_loss,0.1966375857591629,1948.0
loss_weighted/category_loss,0.5355104207992554,1958.0
loss_weighted/category_loss,0.7752281427383423,1968.0
loss_weighted/category_loss,0.3191375434398651,1978.0
loss_weighted/category_loss,0.3363649547100067,1988.0
loss_weighted/category_loss,0.3714437484741211,1998.0
loss_weighted/category_loss,0.40774664282798767,2008.0
loss_weighted/category_loss,0.3365304470062256,2018.0
loss_weighted/category_loss,0.37568312883377075,2028.0
loss_weighted/category_loss,0.3390772342681885,2038.0
loss_weighted/category_loss,0.2260768711566925,2048.0
loss_weighted/category_loss,0.16740822792053223,2058.0
loss_weighted/category_loss,0.3484998941421509,2068.0
loss_weighted/category_loss,0.2593991756439209,2078.0
loss_weighted/category_loss,0.16599860787391663,2088.0
loss_weighted/category_loss,0.4023977518081665,2098.0
loss_weighted/category_loss,0.3977736234664917,2108.0
loss_weighted/category_loss,0.3173481822013855,2118.0
loss_weighted/category_loss,0.6669319868087769,2128.0
loss_weighted/category_loss,0.6114948391914368,2138.0
loss_weighted/category_loss,0.38976210355758667,2148.0
loss_weighted/category_loss,0.4677119553089142,2158.0
loss_weighted/category_loss,0.6578992605209351,2168.0
loss_weighted/category_loss,0.48375609517097473,2178.0
loss_weighted/category_loss,0.3509845733642578,2188.0
loss_weighted/category_loss,0.8275014162063599,2201.0
loss_weighted/category_loss,0.38281190395355225,2211.0
loss_weighted/category_loss,0.060844987630844116,2221.0
loss_weighted/category_loss,0.22866187989711761,2231.0
loss_weighted/category_loss,0.36437538266181946,2241.0
loss_weighted/category_loss,0.6171656847000122,2251.0
loss_weighted/category_loss,0.40559831261634827,2261.0
loss_weighted/category_loss,0.35837456583976746,2271.0
loss_weighted/category_loss,0.30283862352371216,2281.0
loss_weighted/category_loss,0.3761356472969055,2291.0
loss_weighted/category_loss,0.5710527896881104,2301.0
loss_weighted/category_loss,0.5459401607513428,2311.0
loss_weighted/category_loss,0.3259303569793701,2321.0
loss_weighted/category_loss,0.6437171697616577,2331.0
loss_weighted/category_loss,0.3146982789039612,2341.0
loss_weighted/category_loss,0.11722913384437561,2351.0
loss_weighted/category_loss,0.1055077612400055,2361.0
loss_weighted/category_loss,0.20639729499816895,2371.0
loss_weighted/category_loss,0.10827267169952393,2381.0
loss_weighted/category_loss,0.30149757862091064,2391.0
loss_weighted/category_loss,0.1910843849182129,2401.0
loss_weighted/category_loss,0.18226918578147888,2411.0
loss_weighted/category_loss,0.39836299419403076,2421.0
loss_weighted/category_loss,0.22600194811820984,2431.0
loss_weighted/category_loss,0.16735872626304626,2441.0
loss_weighted/category_loss,0.2747595012187958,2451.0
loss_weighted/category_loss,0.18994738161563873,2461.0
loss_weighted/category_loss,0.5363608002662659,2471.0
loss_weighted/category_loss,0.027433976531028748,2481.0
loss_weighted/category_loss,0.3494380712509155,2491.0
loss_weighted/category_loss,0.40566542744636536,2501.0
loss_weighted/category_loss,0.40259161591529846,2514.0
loss_weighted/category_loss,0.14623045921325684,2524.0
loss_weighted/category_loss,0.3306441903114319,2534.0
loss_weighted/category_loss,0.13409945368766785,2544.0
loss_weighted/category_loss,0.17660486698150635,2554.0
loss_weighted/category_loss,0.22597067058086395,2564.0
loss_weighted/category_loss,0.20269200205802917,2574.0
loss_weighted/category_loss,0.3684370219707489,2584.0
loss_weighted/category_loss,0.20274533331394196,2594.0
loss_weighted/category_loss,0.21828755736351013,2604.0
loss_weighted/category_loss,0.3843776285648346,2614.0
loss_weighted/category_loss,0.4070504307746887,2624.0
loss_weighted/category_loss,0.06554634869098663,2634.0
loss_weighted/category_loss,0.2594529986381531,2644.0
loss_weighted/category_loss,0.1400483399629593,2654.0
loss_weighted/category_loss,0.8832738399505615,2664.0
loss_weighted/category_loss,0.31904137134552,2674.0
loss_weighted/category_loss,0.27847298979759216,2684.0
loss_weighted/category_loss,0.4210534393787384,2694.0
loss_weighted/category_loss,0.292341023683548,2704.0
loss_weighted/category_loss,0.2730807363986969,2714.0
loss_weighted/category_loss,0.5454411506652832,2724.0
loss_weighted/category_loss,0.31581825017929077,2734.0
loss_weighted/category_loss,0.33962327241897583,2744.0
loss_weighted/category_loss,0.3032679259777069,2754.0
loss_weighted/category_loss,0.6387343406677246,2764.0
loss_weighted/category_loss,0.34968411922454834,2774.0
loss_weighted/category_loss,0.28659236431121826,2784.0
loss_weighted/category_loss,0.1782202571630478,2794.0
loss_weighted/category_loss,0.11509159952402115,2804.0
loss_weighted/category_loss,0.2419745922088623,2814.0
loss_weighted/category_loss,0.3130396008491516,2827.0
loss_weighted/category_loss,0.2225787341594696,2837.0
loss_weighted/category_loss,0.32956770062446594,2847.0
loss_weighted/category_loss,0.026198089122772217,2857.0
loss_weighted/category_loss,0.025716662406921387,2867.0
loss_weighted/category_loss,0.20247232913970947,2877.0
loss_weighted/category_loss,0.1323138177394867,2887.0
loss_weighted/category_loss,0.39039167761802673,2897.0
loss_weighted/category_loss,0.29295504093170166,2907.0
loss_weighted/category_loss,0.03942328691482544,2917.0
loss_weighted/category_loss,0.22279193997383118,2927.0
loss_weighted/category_loss,0.17694151401519775,2937.0
loss_weighted/category_loss,0.1615753471851349,2947.0
loss_weighted/category_loss,0.19698110222816467,2957.0
loss_weighted/category_loss,0.07290266454219818,2967.0
loss_weighted/category_loss,0.23781003057956696,2977.0
loss_weighted/category_loss,0.14164498448371887,2987.0
loss_weighted/category_loss,0.17418155074119568,2997.0
loss_weighted/category_loss,0.21244415640830994,3007.0
loss_weighted/category_loss,0.24121738970279694,3017.0
loss_weighted/category_loss,0.5997425317764282,3027.0
loss_weighted/category_loss,0.13525107502937317,3037.0
loss_weighted/category_loss,0.27385184168815613,3047.0
loss_weighted/category_loss,0.37324512004852295,3057.0
loss_weighted/category_loss,0.3892735242843628,3067.0
loss_weighted/category_loss,0.2226494550704956,3077.0
loss_weighted/category_loss,0.2754465639591217,3087.0
loss_weighted/category_loss,0.12262601405382156,3097.0
loss_weighted/category_loss,0.28595009446144104,3107.0
loss_weighted/category_loss,0.22717274725437164,3117.0
loss_weighted/category_loss,0.2144341766834259,3127.0
loss_weighted/category_loss,0.4164735972881317,3140.0
loss_weighted/category_loss,0.2842293679714203,3150.0
loss_weighted/category_loss,0.025831550359725952,3160.0
